pilot_mmsi,vessels_assisted,num_sessions,total_duration_min,avg_duration_min,avg_min_distance,avg_avg_distance
440702880.0,6,143,1065.47,7.45,62.0,63.81
440112210.0,6,91,673.43,7.4,70.0,72.43
440051510.0,4,79,569.75,7.21,56.51,58.93
440335980.0,5,68,548.37,8.06,60.24,63.35
440155330.0,6,45,324.4,7.21,25.92,32.13
440116550.0,3,37,273.65,7.4,89.54,92.16
440127410.0,3,31,244.32,7.88,20.32,24.25
440075240.0,5,24,222.53,9.27,57.01,59.73
440113610.0,6,40,210.12,5.25,67.87,72.35
440313260.0,2,35,175.43,5.01,53.64,55.17
440008040.0,4,21,137.45,6.55,20.95,22.41
441925000.0,3,18,110.08,6.12,55.59,58.97
440184720.0,1,15,79.88,5.33,6.6,8.1
373493000.0,3,11,69.52,6.32,71.11,72.11
440700180.0,3,13,64.73,4.98,86.19,87.54
440200060.0,2,12,47.87,3.99,61.72,65.48
440104800.0,3,11,33.05,3.0,25.98,30.3
440018500.0,1,7,14.17,2.02,42.23,43.82
440313250.0,1,1,3.67,3.67,36.31,48.07
