vessel_mmsi,num_sessions,total_duration_min,avg_duration_min,avg_min_distance
477518600.0,2,96.0,48.0,48.0
352153000.0,2,71.0,35.5,7.85
305538000.0,2,62.0,31.0,22.09
636093041.0,2,61.0,30.5,28.42
565570000.0,2,49.0,24.5,31.69
440111000.0,1,49.0,49.0,9.41
441502000.0,3,47.0,15.67,33.22
370587000.0,2,44.0,22.0,27.35
636021108.0,1,43.0,43.0,19.57
212563000.0,2,41.0,20.5,38.2
228354600.0,1,39.0,39.0,18.96
636020868.0,1,35.0,35.0,14.49
218774000.0,1,35.0,35.0,34.01
574002930.0,1,35.0,35.0,10.66
413381290.0,1,35.0,35.0,9.9
477030700.0,2,34.0,17.0,37.29
477326200.0,2,33.0,16.5,26.66
440642000.0,1,30.0,30.0,15.67
636017921.0,1,10.0,10.0,65.19
311703000.0,2,7.0,3.5,23.42
563147400.0,1,6.0,6.0,17.62
538090562.0,1,5.0,5.0,22.82
636021129.0,1,5.0,5.0,17.5
